"trans_id";"account_id";"date";"type";"operation";"amount";"balance";"k_symbol";"bank";"account"
615542;2099;930112;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
439036;1493;930113;"PRIJEM";"PREVOD Z UCTU";5009.00;5209.00;"DUCHOD";"AB";"54522466"
1100759;3760;930113;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
480215;1637;930113;"PRIJEM";"PREVOD Z UCTU";5718.00;6218.00;"DUCHOD";"UV";"45134812"
1548749;5270;930113;"PRIJEM";"VKLAD";800.00;800.00;"";;
505241;1726;930113;"PRIJEM";"VKLAD";13967.00;14967.00;"";;
846007;2881;930113;"PRIJEM";"VKLAD";6959.00;7659.00;"";;
1021121;3487;930113;"PRIJEM";"VKLAD";15914.00;16714.00;"";;
2908689;9635;930114;"PRIJEM";"PREVOD Z UCTU";4470.00;4870.00;"DUCHOD";"CD";"37906074"
858384;2926;930114;"PRIJEM";"VKLAD";600.00;600.00;"";;
498389;1699;930114;"PRIJEM";"VKLAD";800.00;800.00;"";;
699221;2393;930114;"PRIJEM";"VKLAD";10737.00;11637.00;"";;
1142758;3909;930114;"PRIJEM";"VKLAD";700.00;700.00;"";;
1548750;5270;930114;"PRIJEM";"PREVOD Z UCTU";44749.00;45549.00;"";"IJ";"80269753"
506836;1731;930114;"PRIJEM";"VKLAD";200.00;200.00;"";;
3393738;11265;930114;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
621775;2122;930115;"PRIJEM";"VKLAD";46552.00;46852.00;"";;
737258;2519;930115;"PRIJEM";"VKLAD";500.00;500.00;"";;
144549;485;930116;"PRIJEM";"VKLAD";13156.00;13456.00;"";;
435762;1481;930117;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
1027726;3510;930117;"PRIJEM";"VKLAD";23323.00;23823.00;"";;
3122924;10364;930117;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
1176385;4034;930118;"PRIJEM";"VKLAD";200.00;200.00;"";;
119435;401;930118;"PRIJEM";"VKLAD";300.00;300.00;"";;
1100767;3760;930118;"PRIJEM";"VKLAD";10792.00;11792.00;"";;
682546;2330;930119;"PRIJEM";"VKLAD";200.00;200.00;"";;
529772;1806;930119;"PRIJEM";"VKLAD";400.00;400.00;"";;
1121963;3834;930119;"PRIJEM";"VKLAD";700.00;700.00;"";;
359511;1222;930120;"PRIJEM";"VKLAD";700.00;700.00;"";;
63712;212;930120;"PRIJEM";"VKLAD";200.00;200.00;"";;
298978;1019;930121;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
136957;459;930121;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
135814;456;930121;"PRIJEM";"VKLAD";700.00;700.00;"";;
226654;772;930121;"PRIJEM";"VKLAD";500.00;500.00;"";;
3402664;11295;930121;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
695250;2378;930122;"PRIJEM";"VKLAD";7268.00;7968.00;"";;
451890;1536;930122;"PRIJEM";"VKLAD";300.00;300.00;"";;
785190;2676;930122;"PRIJEM";"VKLAD";200.00;200.00;"";;
615548;2099;930122;"PRIJEM";"VKLAD";16125.00;17225.00;"";;
871631;2970;930122;"PRIJEM";"VKLAD";400.00;400.00;"";;
